settlement_id,settlement_name,ward_name,lga_name,name_point_id,name_assignment_method,name_assignment_distance_m,name_validation_status,evidence_grade
SET_SET_428,Sukeme Gbene,Ward_78,Sagbama,SETNAME_12025462,Nearest GRID3 settlement-name point in same ward,4977.345424,Nearest-name assignment; manual review required,E0
SET_SET_1568,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,4929.477972,Nearest-name assignment; manual review required,E0
SET_SET_1589,Brimola Gbene I,Ward_23,Ekeremor,SETNAME_12083795,Nearest GRID3 settlement-name point in same ward,4928.836127,Nearest-name assignment; manual review required,E0
SET_SET_1745,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,4916.85393,Nearest-name assignment; manual review required,E0
SET_SET_2176,Alesegbene,Ward_25,Ekeremor,SETNAME_12233612,Nearest GRID3 settlement-name point in same ward,4898.507463,Nearest-name assignment; manual review required,E0
SET_SET_2345,Finfiasa Gbene,Ward_25,Ekeremor,SETNAME_12056333,Nearest GRID3 settlement-name point in same ward,4886.884538,Nearest-name assignment; manual review required,E0
SET_SET_8,Ayanmapou,Ward_86,Sagbama,SETNAME_12083220,Nearest GRID3 settlement-name point in same ward,4850.036803,Nearest-name assignment; manual review required,E0
SET_SET_55,Sampou Ama,Ward_80,Sagbama,SETNAME_12019327,Nearest GRID3 settlement-name point in same ward,4817.002734,Nearest-name assignment; manual review required,E0
SET_SET_4,Kekende Gbene,Ward_86,Sagbama,SETNAME_12083147,Nearest GRID3 settlement-name point in same ward,4779.059138,Nearest-name assignment; manual review required,E0
SET_SET_2467,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,4773.158676,Nearest-name assignment; manual review required,E0
SET_SET_2246,Peretoru Gbene,Ward_26,Ekeremor,SETNAME_12188058,Nearest GRID3 settlement-name point in same ward,4736.229105,Nearest-name assignment; manual review required,E0
SET_SET_5,Orupougbene,Ward_86,Sagbama,SETNAME_12027817,Nearest GRID3 settlement-name point in same ward,4714.04318,Nearest-name assignment; manual review required,E0
SET_SET_425,Tubolayefa Gbene,Ward_78,Sagbama,SETNAME_11999928,Nearest GRID3 settlement-name point in same ward,4686.80601,Nearest-name assignment; manual review required,E0
SET_SET_1752,Bolouama Gbene,Ward_96,Sagbama,SETNAME_12070865,Nearest GRID3 settlement-name point in same ward,4660.703808,Nearest-name assignment; manual review required,E0
SET_SET_56,Sampou Ama,Ward_80,Sagbama,SETNAME_12019327,Nearest GRID3 settlement-name point in same ward,4651.106663,Nearest-name assignment; manual review required,E0
SET_SET_1746,Ayama Ebene,Ward_96,Sagbama,SETNAME_12133116,Nearest GRID3 settlement-name point in same ward,4619.335387,Nearest-name assignment; manual review required,E0
SET_SET_311,Peter Gbene,Ward_60,Sagbama,SETNAME_12276198,Nearest GRID3 settlement-name point in same ward,4613.685739,Nearest-name assignment; manual review required,E0
SET_SET_1583,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,4587.512319,Nearest-name assignment; manual review required,E0
SET_SET_2283,Dinefieama Gbene,Ward_25,Ekeremor,SETNAME_12152141,Nearest GRID3 settlement-name point in same ward,4580.783537,Nearest-name assignment; manual review required,E0
SET_SET_2466,Ebiama Zion,Ward_34,Ekeremor,SETNAME_12236618,Nearest GRID3 settlement-name point in same ward,4569.693227,Nearest-name assignment; manual review required,E0
SET_SET_427,Tubolayefa Gbene,Ward_78,Sagbama,SETNAME_11999928,Nearest GRID3 settlement-name point in same ward,4544.47989,Nearest-name assignment; manual review required,E0
SET_SET_7,Ayanmapou,Ward_86,Sagbama,SETNAME_12083220,Nearest GRID3 settlement-name point in same ward,4538.881368,Nearest-name assignment; manual review required,E0
SET_SET_2486,Bouperegha Gbene,Ward_25,Ekeremor,SETNAME_12220689,Nearest GRID3 settlement-name point in same ward,4474.724696,Nearest-name assignment; manual review required,E0
SET_SET_2135,Peretoru Gbene,Ward_26,Ekeremor,SETNAME_12188058,Nearest GRID3 settlement-name point in same ward,4473.528453,Nearest-name assignment; manual review required,E0
SET_SET_2284,Dinefieama Gbene,Ward_25,Ekeremor,SETNAME_12152141,Nearest GRID3 settlement-name point in same ward,4454.4116,Nearest-name assignment; manual review required,E0
SET_SET_1641,Ebipade Gbene,Ward_30,Ekeremor,SETNAME_12152792,Nearest GRID3 settlement-name point in same ward,4406.344486,Nearest-name assignment; manual review required,E0
SET_SET_328,Aban Gbene,Ward_60,Sagbama,SETNAME_12017924,Nearest GRID3 settlement-name point in same ward,4400.300022,Nearest-name assignment; manual review required,E0
SET_SET_312,Aban Gbene,Ward_60,Sagbama,SETNAME_12017924,Nearest GRID3 settlement-name point in same ward,4393.09088,Nearest-name assignment; manual review required,E0
