ward_id,ward_name,lga_name,settlement_count,allocated_worldpop_total,allocated_worldpop_u5,allocated_worldpop_female_15_49,allocation_weight_sum,ward_worldpop_total,ward_worldpop_u5,ward_worldpop_female_15_49,total_difference,u5_difference,female_15_49_difference
WARD_103,Ward_104,Ekeremor,8,7285,813,1849,1,7285,813,1849,0,0,0
WARD_22,Ward_23,Ekeremor,27,9892,1117,2494,1,9892,1117,2494,0,0,0
WARD_24,Ward_25,Ekeremor,205,39066,4361,9913,1,39066,4361,9913,0,0,0
WARD_25,Ward_26,Ekeremor,32,13110,1464,3326,1,13110,1464,3326,0,0,0
WARD_26,Ward_27,Ekeremor,49,8315,928,2110,1,8315,928,2110,0,0,0
WARD_27,Ward_28,Ekeremor,44,16389,1831,4158,1,16389,1831,4158,0,0,0
WARD_28,Ward_29,Ekeremor,8,8783,981,2229,0.9999999999999999,8783,981,2229,0,0,0
WARD_29,Ward_30,Ekeremor,22,8309,928,2108,1,8309,928,2108,0,0,0
WARD_30,Ward_31,Ekeremor,43,11253,1262,2848,1,11253,1262,2848,0,0,0
WARD_31,Ward_32,Ekeremor,37,4591,513,1165,1,4591,513,1165,0,0,0
WARD_33,Ward_34,Ekeremor,23,4505,503,1143,1,4505,503,1143,0,0,0
WARD_4,Ward_5,Ekeremor,36,14291,1595,3626,1,14291,1595,3626,0,0,0
WARD_56,Ward_57,Sagbama,22,19246,2149,4884,1,19246,2149,4884,0,0,0
WARD_59,Ward_60,Sagbama,23,11983,1338,3041,1,11983,1338,3041,0,0,0
WARD_61,Ward_62,Sagbama,4,30224,3374,7669,1,30224,3374,7669,0,0,0
WARD_63,Ward_64,Sagbama,15,13169,1478,3318,1,13169,1478,3318,0,0,0
WARD_64,Ward_65,Sagbama,19,7300,815,1852,0.9999999999999999,7300,815,1852,0,0,0
WARD_77,Ward_78,Sagbama,38,14354,1603,3640,1,14354,1603,3640,0,0,0
WARD_79,Ward_80,Sagbama,14,12364,1380,3137,1,12364,1380,3137,0,0,0
WARD_80,Ward_81,Sagbama,17,5552,633,1361,1,5552,633,1361,0,0,0
WARD_82,Ward_83,Sagbama,29,8451,945,2138,1,8451,945,2138,0,0,0
WARD_85,Ward_86,Sagbama,40,6519,728,1654,1,6519,728,1654,0,0,0
WARD_92,Ward_93,Sagbama,57,28178,3150,7138,1,28178,3150,7138,0,0,0
WARD_95,Ward_96,Sagbama,30,16302,1820,4137,0.9999999999999999,16302,1820,4137,0,0,0
WARD_96,Ward_97,Sagbama,15,4254,475,1080,1,4254,475,1080,0,0,0
